,Instrument,Mid Yield
0,US10YT=RR,3.7306
1,US10YT=RR,3.7809
2,US10YT=RR,3.84485
3,US10YT=RR,3.96815
4,US10YT=RR,4.02655
5,US10YT=RR,4.01295
6,US10YT=RR,4.07355
7,US10YT=RR,4.06575
8,US10YT=RR,4.09535
9,US10YT=RR,4.09535
10,US10YT=RR,4.03265
11,US10YT=RR,4.01705
12,US10YT=RR,4.0935
13,US10YT=RR,4.08185
14,US10YT=RR,4.1946
15,US10YT=RR,4.2066
16,US10YT=RR,4.2446
17,US10YT=RR,4.21275
18,US10YT=RR,4.2409
19,US10YT=RR,4.2811
20,US10YT=RR,4.2551
21,US10YT=RR,4.2994
22,US10YT=RR,4.28135
23,US10YT=RR,4.38465
24,US10YT=RR,4.2857
25,US10YT=RR,4.2798
26,US10YT=RR,4.4305
27,US10YT=RR,4.32475
28,US10YT=RR,4.30525
29,US10YT=RR,4.30525
30,US10YT=RR,4.4285
31,US10YT=RR,4.4502
32,US10YT=RR,4.44525
33,US10YT=RR,4.44435
34,US10YT=RR,4.41285
35,US10YT=RR,4.3952
36,US10YT=RR,4.4129
37,US10YT=RR,4.4188
38,US10YT=RR,4.411
39,US10YT=RR,4.2741
40,US10YT=RR,4.29355
41,US10YT=RR,4.2595
42,US10YT=RR,4.2595
43,US10YT=RR,4.1772
44,US10YT=RR,4.19455
45,US10YT=RR,4.2255
46,US10YT=RR,4.1829
47,US10YT=RR,4.1771
48,US10YT=RR,4.1481
49,US10YT=RR,4.2002
50,US10YT=RR,4.2273
51,US10YT=RR,4.274
52,US10YT=RR,4.33465
53,US10YT=RR,4.3937
54,US10YT=RR,4.40165
55,US10YT=RR,4.3938
56,US10YT=RR,4.518
57,US10YT=RR,4.56515
58,US10YT=RR,4.5292
59,US10YT=RR,4.5875
60,US10YT=RR,4.5897
61,US10YT=RR,4.5897
62,US10YT=RR,4.5837
63,US10YT=RR,4.62935
64,US10YT=RR,4.53165
65,US10YT=RR,4.572
