feature,n_total,n_valid,missing_pct,mean,std,min,max
equity_ret_1d,1817,1815,0.11,0.000564,0.012398,-0.119841,0.095154
equity_ret_5d,1817,1811,0.33,0.002762,0.024973,-0.179666,0.173974
equity_ret_20d,1817,1796,1.16,0.010816,0.048333,-0.309439,0.261804
equity_realised_vol_20d,1817,1796,1.16,0.163497,0.112636,0.049437,0.971241
equity_drawdown,1817,1816,0.06,-0.05569,0.066598,-0.33925,0.0
vix_level,1817,1817,0.0,20.363577,7.561529,11.54,82.69
vix_change_1d,1817,1816,0.06,0.003337,2.112561,-18.71,24.86
vix_zscore_252d,1817,1566,13.81,-0.114582,1.151182,-2.051592,8.916627
dxy_ret_1d,1817,1815,0.11,1.3e-05,0.004212,-0.021194,0.016515
dxy_zscore_252d,1817,1565,13.87,0.035279,1.412365,-3.561441,3.149412
brent_ret_1d,1817,1815,0.11,0.00058,0.026687,-0.265495,0.16706
brent_ret_5d,1817,1811,0.33,0.00276,0.061506,-0.370147,0.524309
brent_realised_vol_20d,1817,1796,1.16,0.360942,0.221128,0.12461,1.705957
wti_ret_1d,1817,1815,0.11,-0.000744,0.065473,-1.722958,0.57064
brent_wti_spread,1817,1816,0.06,4.183981,2.064484,-6.92,39.23
us_2y_yield,1817,1817,0.0,2.675631,1.768721,0.1042,5.2193
us_5y_yield,1817,1817,0.0,2.69108,1.507701,0.1909,4.95205
us_10y_yield,1817,1817,0.0,2.902586,1.371473,0.511,4.98875
us_30y_yield,1817,1817,0.0,3.30095,1.23924,1.025,5.10765
us_2y_change_bps,1817,1816,0.06,0.082522,5.936405,-57.77,29.835
us_5y_change_bps,1817,1816,0.06,0.089507,6.13554,-30.855,23.26
us_10y_change_bps,1817,1816,0.06,0.098513,5.872985,-28.785,33.065
us_30y_change_bps,1817,1816,0.06,0.108362,5.494997,-30.175,38.965
slope_10y_2y,1817,1817,0.0,0.226955,0.593278,-1.0815,1.58185
slope_30y_5y,1817,1817,0.0,0.60987,0.484948,-0.454,1.6229
curve_butterfly_2s10s30s,1817,1817,0.0,-0.171409,0.425284,-1.1131,0.91045
curve_level,1817,1817,0.0,2.892562,1.453297,0.49965,5.052013
curve_slope_change_bps,1817,1816,0.06,0.015991,3.938294,-16.57,41.815
SHY.O_ret_1d,1817,1816,0.06,-9e-06,0.001186,-0.00538,0.009974
IEF.O_ret_1d,1817,1816,0.06,-4.6e-05,0.004569,-0.025073,0.026417
TLT.O_ret_1d,1817,1816,0.06,-0.000143,0.010222,-0.066683,0.075196
