date,benchmark_ret,overlay_ret,equity_weight,defensive_weight,transaction_cost,regime_label,regime_state,bull_aware_equity_weight,bull_aware_defensive_weight,bull_aware_transaction_cost,bull_aware_ret,regime_momentum_equity_weight,regime_momentum_defensive_weight,regime_momentum_transaction_cost,regime_momentum_ret,vol_managed_equity_weight,vol_managed_defensive_weight,vol_managed_transaction_cost,vol_managed_ret,bull_period
2023-04-04,-0.0057970522559043225,-0.006297052255904323,1.0,0.0,0.0005,risk_on,1,1.0,0.0,0.0005,-0.006297052255904323,1.0,0.0,0.0005,-0.006297052255904323,0.871331611347355,0.12866838865264496,0.00043566580567367747,-0.0051889771966241085,True
2023-04-05,-0.0024923181973370845,0.0008370608970462161,0.0,1.0,0.0005,stress,2,0.25,0.75,0.000375,4.7161234503909555e-06,0.45,0.55,0.000275,-0.0006611596954262692,0.25,0.75,0.0003106658056736775,6.905031777671344e-05,True
2023-04-06,0.003579129567424122,-0.00036416605972322547,0.0,1.0,0.0,stress,2,0.25,0.75,0.0,0.0006216578470636114,0.45,0.55,0.0,0.0014103169724930809,0.25,0.75,0.0,0.0006216578470636114,True
2023-04-07,0.0,0.0,0.0,1.0,0.0,stress,2,0.25,0.75,0.0,0.0,0.45,0.55,0.0,0.0,0.2504031006825844,0.7495968993174156,2.015503412922115e-07,-2.015503412922115e-07,True
2023-04-10,0.0009963410653295313,-0.003521554341226363,0.0,1.0,0.0,stress,2,0.25,0.75,0.0,-0.0023920804895873893,0.45,0.55,0.0,-0.0014885014082762105,0.27163081604046513,0.7283691839595349,1.0613857678940352e-05,-0.0023049685828370565,True
2023-04-11,-4.137148920324574e-05,-0.00012186205215702905,0.0,1.0,0.0,stress,2,0.25,0.75,0.0,-0.00010173941141858323,0.45,0.55,0.0,-8.564129882782657e-05,0.2730666268166225,0.7269333731833775,7.17905388078699e-07,-0.00010060067102874714,True
2023-04-12,-0.004134886369720592,0.00109689213893982,0.0,1.0,0.0,stress,2,0.25,0.75,0.0,-0.00021105248822528289,0.45,0.55,0.0,-0.0012574081899573654,0.28950421043550706,0.710495789564493,8.218791809442266e-06,-0.00042594855919280935,True
2023-04-13,0.013262625398648753,0.0006087168249329089,0.0,1.0,0.0,stress,2,0.25,0.75,0.0,0.00377219396836187,0.45,0.55,0.0,0.006302975683105039,0.2942135610703326,0.7057864389296674,2.354675317412763e-06,0.004329313652546848,True
2023-04-14,-0.0020693547375681964,-0.0023117167538629912,0.0,1.0,0.0,stress,2,0.25,0.75,0.0,-0.0022511262497892925,0.45,0.55,0.0,-0.002202653846530334,0.30674920909718695,0.693250790902813,6.267824013427181e-06,-0.0022436402210627908,True
2023-04-17,0.0033062325383550473,-0.0014634146341463428,0.0,1.0,0.0,stress,2,0.25,0.75,0.0,-0.00027100284102099526,0.45,0.55,0.0,0.0006829265934792827,0.3125,0.6875,2.875395451406526e-06,2.4224711808935095e-05,True
2023-04-18,0.0008551496873283604,-0.0002442598925256334,0.0,1.0,0.0,stress,2,0.25,0.75,0.0,3.0592502437865043e-05,0.45,0.55,0.0,0.0002504744184086638,0.3125,0.6875,0.0,9.930560117873966e-05,True
