metric,benchmark,overlay
n_days,791.0,791.0
cagr,0.18935941329500383,0.04143194405519379
annualised_vol,0.14634641158775005,0.06212136366922101
sharpe,1.2939122404204833,0.6669516187025026
sortino,1.2510490163892696,0.6524962165533167
max_drawdown,-0.18902207791150938,-0.06583599849571209
calmar,1.001784634827961,0.6293205085648129
total_return,0.7234532101995126,0.13590345268289084
hit_rate,0.5448798988621998,0.5018963337547409
worst_daily_loss,-0.05974961641947041,-0.018631839946536194
best_daily_gain,0.09515390034057347,0.01969581077900684
avg_equity_exposure,1.0,0.41782553729456384
total_transaction_cost,0.0,0.04975
n_weight_changes,0.0,165.0
n_regime_switches,0.0,166.0
