strategy,regime,confidence,var,cvar,n_obs
defensive_overlay,risk_on,0.95,-0.010881098850410819,-0.016346416813441733,1445
defensive_overlay,stress,0.95,-0.0015604691480042398,-0.002417947404975438,1108
defensive_overlay,transition,0.95,-0.00775765081391618,-0.01389778198957251,1449
defensive_overlay,risk_on,0.99,-0.020456178315295167,-0.02494733246053626,1445
defensive_overlay,stress,0.99,-0.0028186327043047805,-0.00374737882348625,1108
defensive_overlay,transition,0.99,-0.017948290020724098,-0.027153093257070222,1449
bull_aware_overlay,risk_on,0.95,-0.010756713904105398,-0.015870687616447107,1445
bull_aware_overlay,stress,0.95,-0.005666438196927029,-0.008090664659763009,1108
bull_aware_overlay,transition,0.95,-0.011192339425307105,-0.016889475478028545,1449
bull_aware_overlay,risk_on,0.99,-0.01994901843317263,-0.023938820382671037,1445
bull_aware_overlay,stress,0.99,-0.009676594962976477,-0.012181366384031875,1108
bull_aware_overlay,transition,0.99,-0.01911885687959896,-0.029205432239489307,1449
regime_momentum,risk_on,0.95,-0.01075785907848698,-0.016064790959407157,1445
regime_momentum,stress,0.95,-0.006853540107938103,-0.00974594713640729,1108
regime_momentum,transition,0.95,-0.013262220943307356,-0.02046481806196068,1449
regime_momentum,risk_on,0.99,-0.020296173436679863,-0.02405152500817737,1445
regime_momentum,stress,0.99,-0.011313496534919395,-0.013785426478020993,1108
regime_momentum,transition,0.99,-0.02455963206482959,-0.034882254204967024,1449
vol_managed,risk_on,0.95,-0.010272292626732097,-0.01571896095547554,1445
vol_managed,stress,0.95,-0.0060762294551955556,-0.008345559517854428,1108
vol_managed,transition,0.95,-0.012596411419145578,-0.0176039374187526,1449
vol_managed,risk_on,0.99,-0.020203591342937612,-0.02392856571304177,1445
vol_managed,stress,0.99,-0.009865384917097188,-0.012499341466037858,1108
vol_managed,transition,0.99,-0.019196006237633227,-0.027974954864895575,1449
