strategy,segment,avg_equity_exposure
benchmark,overall,1.0
benchmark,bull_market,1.0
benchmark,non_bull,1.0
benchmark,regime_risk_on,1.0
benchmark,regime_transition,1.0
benchmark,regime_stress,1.0
defensive_overlay,overall,0.542103948025987
defensive_overlay,bull_market,0.6221876081689166
defensive_overlay,non_bull,0.33423180592991913
defensive_overlay,regime_risk_on,1.0
defensive_overlay,regime_transition,0.5
defensive_overlay,regime_stress,0.0
bull_aware_overlay,overall,0.6894868094585322
bull_aware_overlay,bull_market,0.760143738175675
bull_aware_overlay,non_bull,0.5060835147021755
bull_aware_overlay,regime_risk_on,0.9910224101353489
bull_aware_overlay,regime_transition,0.7177181159312491
bull_aware_overlay,regime_stress,0.25931884370314734
regime_momentum,overall,0.7709846895349134
regime_momentum,bull_market,0.86607410104353
regime_momentum,non_bull,0.5241623087187467
regime_momentum,regime_risk_on,0.994357514818604
regime_momentum,regime_transition,0.8762047380552056
regime_momentum,regime_stress,0.3420699035774803
vol_managed,overall,0.7277422296960109
vol_managed,bull_market,0.8137588508187675
vol_managed,non_bull,0.5044699759461061
vol_managed,regime_risk_on,0.9798442016675324
vol_managed,regime_transition,0.8167166797052146
vol_managed,regime_stress,0.2826056524738224
